Car_Name,Fuel_Type,Transmission,Year,Present_Price,Driven_kms,Selling_Price
90,2,1,2014,5.59,27000,3.35
93,1,1,2013,9.54,43000,4.75
68,2,1,2017,9.85,6900,7.25
96,2,1,2011,4.15,5200,2.85
92,1,1,2014,6.87,42450,4.6
95,1,1,2018,9.83,2071,9.25
68,2,1,2015,8.12,18796,6.75
91,1,1,2015,8.61,33429,6.5
68,1,1,2016,8.89,20273,8.75
68,1,1,2015,8.92,42367,7.45
62,2,1,2017,3.6,2135,2.85
68,1,1,2015,10.38,51000,6.85
68,2,0,2015,9.94,15000,7.5
76,2,1,2015,7.71,26000,6.1
73,2,1,2009,7.21,77427,2.25
76,1,1,2016,10.79,43000,7.75
76,1,1,2015,10.79,41678,7.25
76,1,1,2016,10.79,43000,7.75
96,0,1,2015,5.09,35500,3.25
93,2,1,2010,7.98,41442,2.65
63,2,1,2016,3.95,25000,2.85
85,2,1,2017,5.71,2400,4.9
93,2,0,2011,8.01,50000,4.4
63,2,1,2014,3.46,45280,2.5
96,2,1,2013,4.41,56879,2.9
92,2,1,2011,4.99,20000,3.0
92,2,1,2013,5.87,55138,4.15
92,2,1,2017,6.49,16200,6.0
63,2,1,2010,3.95,44542,1.95
68,1,1,2015,10.38,45000,7.45
90,1,1,2012,5.98,51439,3.1
90,2,1,2011,4.89,54200,2.35
92,1,1,2014,7.49,39000,4.95
76,1,1,2014,9.95,45000,6.0
73,1,1,2014,8.06,45000,5.5
93,0,1,2011,7.74,49998,2.95
73,2,1,2015,7.2,48767,4.65
0,2,1,2003,2.28,127000,0.35
63,2,1,2016,3.76,10079,3.0
93,2,1,2003,7.98,62000,2.25
65,2,0,2016,7.87,24524,5.85
63,2,1,2014,3.98,46706,2.55
93,2,1,2008,7.15,58000,1.95
73,1,1,2014,8.06,45780,5.5
89,2,1,2012,2.69,50000,1.25
68,2,0,2014,12.04,15000,7.5
90,2,1,2013,4.89,64532,2.65
96,2,1,2006,4.15,65000,1.05
76,2,1,2015,7.71,25870,5.8
68,2,0,2017,9.29,37000,7.75
86,2,1,2005,10.21,90000,2.75
71,2,0,2009,15.04,70000,3.6
77,2,1,2015,7.27,40534,4.5
71,2,1,2010,18.54,50000,4.75
78,2,1,2014,6.8,39485,4.1
71,2,1,2013,18.61,40001,6.95
77,2,1,2015,7.7,40588,4.5
80,1,1,2014,6.95,45000,4.75
81,1,1,2010,20.45,59000,9.25
71,2,1,2011,13.74,88000,4.35
80,1,1,2014,6.76,71000,3.95
71,1,1,2011,12.48,45000,4.5
71,2,1,2013,18.61,56001,7.45
80,2,1,2011,5.71,43000,2.65
77,1,1,2014,8.93,83000,4.9
78,2,1,2015,6.8,36000,3.95
71,2,1,2013,14.68,72000,5.5
70,2,0,2004,12.35,135154,1.5
71,2,0,2010,22.83,80000,5.25
79,1,1,2015,7.85,40000,4.75
86,1,1,2015,13.46,38000,12.5
86,1,1,2005,13.46,197176,3.49
67,2,0,2006,23.73,142000,2.5
71,2,1,2012,13.74,56000,5.9
80,2,1,2013,6.05,47000,3.45
78,2,1,2014,6.76,40000,4.75
71,2,1,2009,18.61,62000,3.8
86,1,1,2014,16.09,58242,11.25
86,2,1,2005,13.7,75000,3.51
71,2,0,2008,22.78,89000,4.0
71,2,1,2012,18.61,72000,5.85
71,2,1,2013,18.61,45000,7.05
81,1,1,2010,20.45,50024,9.65
49,2,1,2016,1.9,3000,1.75
56,2,1,2017,1.82,1400,1.7
42,2,1,2017,1.78,4000,1.65
11,2,1,2017,1.6,1200,1.45
46,2,1,2017,1.47,4100,1.35
43,2,1,2015,2.37,21700,1.35
40,2,1,2014,3.45,16500,1.35
48,2,1,2013,1.5,15000,1.25
48,2,1,2016,1.5,18000,1.2
46,2,1,2017,1.47,11000,1.2
42,2,1,2016,1.78,6000,1.2
48,2,1,2016,1.5,8700,1.15
41,2,1,2014,2.4,7000,1.15
44,2,1,2016,1.4,35000,1.15
46,2,1,2015,1.47,17000,1.15
46,2,1,2015,1.47,17500,1.11
46,2,1,2013,1.47,33000,1.1
49,2,1,2015,1.9,14000,1.1
46,2,1,2015,1.47,26000,1.1
49,2,1,2013,1.9,5400,1.05
17,2,1,2016,1.26,5700,1.05
48,2,1,2011,1.5,6900,1.05
45,2,1,2016,1.17,6000,1.05
46,2,1,2013,1.47,46500,1.0
47,2,1,2012,1.75,11500,0.95
47,2,1,2009,1.75,40000,0.9
6,2,1,2017,0.95,1300,0.9
4,2,1,2016,0.8,7000,0.75
32,2,1,2017,0.87,3000,0.8
60,2,1,2017,0.84,5000,0.78
32,2,1,2017,0.87,11000,0.75
58,2,1,2015,0.82,18000,0.75
6,2,1,2017,0.95,3500,0.75
6,2,1,2016,0.95,500,0.72
51,2,1,2017,0.81,11800,0.65
14,2,1,2015,0.74,5000,0.65
37,2,1,2014,1.2,23500,0.65
20,2,1,2013,0.787,16000,0.65
32,2,1,2016,0.87,15000,0.6
7,2,1,2015,0.95,16600,0.6
37,2,1,2013,1.2,32000,0.6
5,2,1,2016,0.8,20000,0.6
57,2,1,2015,0.84,29000,0.6
57,2,1,2016,0.84,25000,0.6
12,2,1,2014,0.99,25000,0.6
51,2,1,2012,0.81,19000,0.6
20,2,1,2014,0.787,15000,0.55
60,2,1,2015,0.84,58000,0.55
15,2,1,2010,0.94,45000,0.52
15,2,1,2016,0.94,24000,0.51
52,2,1,2011,0.826,6000,0.5
26,2,1,2016,0.55,31000,0.5
16,2,1,2012,0.99,13000,0.5
16,2,1,2013,0.99,45000,0.5
61,2,1,2014,0.88,8000,0.5
31,2,0,2017,0.51,4300,0.48
54,2,1,2017,0.52,15000,0.48
60,2,1,2015,0.84,23000,0.48
38,2,1,2017,0.54,8600,0.48
31,2,0,2017,0.51,4000,0.45
8,2,1,2011,0.95,24000,0.45
52,2,1,2014,0.826,23000,0.45
16,2,1,2012,0.99,14500,0.45
7,2,1,2010,0.95,27000,0.45
28,2,1,2016,0.54,14000,0.45
1,2,0,2016,0.54,500,0.45
25,2,1,2016,0.55,1000,0.45
51,2,1,2014,0.81,42000,0.42
34,2,1,2013,0.73,12000,0.42
28,2,1,2015,0.54,14000,0.4
59,2,1,2012,0.83,5500,0.4
25,2,1,2015,0.55,6700,0.4
13,2,1,2014,0.64,13700,0.4
2,2,0,2017,0.51,1300,0.4
35,2,1,2015,0.72,38600,0.38
22,2,1,2011,0.787,75000,0.38
39,2,1,2011,1.05,30000,0.35
30,2,0,2016,0.57,24000,0.35
53,2,0,2014,0.52,19000,0.35
39,2,1,2010,1.05,213000,0.31
23,2,1,2012,0.51,60000,0.3
27,2,1,2016,0.48,50000,0.3
33,2,1,2013,0.58,30000,0.3
9,2,1,2013,0.47,21000,0.27
14,2,1,2008,0.75,26000,0.25
50,2,0,2008,0.58,1900,0.25
55,2,0,2010,0.52,22000,0.25
36,2,1,2013,0.51,32000,0.25
21,2,1,2013,0.57,18000,0.25
29,2,1,2005,0.57,55000,0.2
14,2,1,2008,0.75,60000,0.2
10,2,1,2012,0.57,25000,0.2
24,2,1,2007,0.75,49000,0.2
19,2,1,2013,0.65,24000,0.2
18,2,1,2008,0.787,50000,0.2
3,2,1,2015,0.32,35000,0.18
1,2,0,2008,0.52,500000,0.17
36,2,1,2010,0.51,33000,0.16
10,2,1,2011,0.57,35000,0.15
33,2,1,2007,0.58,53000,0.12
14,2,1,2006,0.75,92233,0.1
84,1,1,2010,6.79,58000,3.25
82,2,1,2015,5.7,28200,4.4
83,2,1,2011,4.6,53460,2.95
75,2,1,2015,4.43,28282,2.75
82,2,1,2016,5.7,3493,5.25
97,2,1,2017,7.13,12479,5.75
82,2,0,2015,5.7,34797,5.15
84,2,1,2017,8.1,3435,7.9
82,1,1,2015,5.7,21125,4.85
83,2,1,2012,4.6,35775,3.1
74,1,1,2015,14.79,43535,11.75
72,2,1,2016,13.6,22671,11.25
84,2,1,2011,6.79,31604,2.9
82,2,1,2017,5.7,20114,5.25
94,2,1,2012,9.4,36100,4.5
75,2,1,2016,4.43,12500,2.9
75,2,1,2016,4.43,15000,3.15
94,2,1,2014,8.4,45078,6.45
94,2,1,2012,9.4,36000,4.5
75,2,1,2017,5.43,38488,3.5
84,2,0,2013,6.79,32000,4.5
84,1,1,2014,7.6,77632,6.0
94,1,1,2015,9.4,61381,8.25
94,2,0,2013,9.4,36198,5.11
83,2,1,2011,4.6,22517,2.7
82,2,1,2015,5.7,24678,5.25
83,2,1,2011,4.43,57000,2.55
94,1,1,2012,9.4,60000,4.95
84,1,1,2012,6.79,52132,3.1
94,1,1,2013,9.4,45000,6.15
94,2,1,2017,9.4,15001,9.25
74,2,0,2015,14.79,12900,11.45
82,1,1,2013,5.7,53000,3.9
82,2,1,2015,5.7,4492,5.5
94,2,1,2017,9.4,15141,9.1
75,2,1,2016,4.43,11849,3.1
72,1,1,2015,13.6,68000,11.25
94,2,1,2013,9.4,60241,4.8
75,2,1,2012,4.43,23709,2.0
94,1,1,2012,9.4,32322,5.35
97,2,1,2015,7.13,35866,4.75
97,2,1,2014,7.13,34000,4.4
84,2,1,2016,7.6,7000,6.25
94,1,1,2013,9.4,49000,5.95
94,1,1,2012,9.4,71000,5.2
84,2,1,2012,6.79,35000,3.75
94,2,1,2015,9.4,36000,5.95
83,2,1,2013,4.6,30000,4.0
84,2,1,2016,7.6,17000,5.25
72,1,1,2016,13.6,35934,12.9
69,2,1,2013,9.9,56701,5.0
66,2,0,2015,6.82,31427,5.4
69,1,1,2014,9.9,48000,7.2
69,2,1,2013,9.9,54242,5.25
66,2,1,2012,5.35,53675,3.0
69,2,1,2016,13.6,49562,10.25
69,2,1,2015,13.6,40324,8.5
69,2,1,2015,13.6,25000,8.4
64,2,1,2014,7.0,36054,3.9
69,2,1,2016,13.6,29223,9.15
66,2,1,2016,5.97,5600,5.5
64,2,1,2015,5.8,40023,4.0
87,2,1,2016,7.7,16002,6.6
64,2,1,2015,7.0,40026,4.0
87,2,1,2017,8.7,21200,6.5
64,2,1,2014,7.0,35000,3.65
69,1,1,2016,9.4,19434,8.35
66,2,1,2017,5.8,19000,4.8
69,2,1,2015,10.0,18828,6.7
69,2,1,2011,10.0,69341,4.1
69,2,1,2009,10.0,69562,3.0
69,2,1,2015,10.0,27600,7.5
87,2,1,2010,7.5,61203,2.25
66,2,1,2014,6.8,16500,5.3
69,2,0,2016,13.6,30753,10.9
69,2,1,2015,13.6,24800,8.65
69,2,1,2015,13.6,21780,9.7
87,2,1,2016,8.4,4000,6.0
69,2,1,2014,13.6,40126,6.25
66,2,1,2015,5.9,14465,5.25
69,2,1,2006,7.6,50456,2.1
69,1,1,2014,14.0,63000,8.25
69,2,1,2016,11.8,9010,8.99
66,2,1,2013,5.9,9800,3.5
87,2,0,2016,8.5,15059,7.4
87,2,1,2016,7.9,28569,5.65
64,2,0,2015,7.5,44000,5.75
69,2,1,2015,13.6,34000,8.4
69,2,1,2016,13.6,10980,10.11
64,2,1,2014,6.4,19000,4.5
66,2,1,2015,6.1,31427,5.4
87,2,1,2016,8.4,12000,6.4
69,2,1,2010,9.9,38000,3.25
64,2,1,2014,6.8,33019,3.75
69,1,1,2015,13.09,60076,8.55
69,1,1,2016,11.6,33988,9.5
66,2,1,2015,5.9,60000,4.0
69,2,1,2009,11.0,87934,3.35
69,1,1,2017,12.5,9000,11.5
66,2,1,2016,5.9,5464,5.3
